#Label,#Lead1,#Lead2,#Surface Area
RFO3_RFO4,131,132,0.001
RFO4_RFO5,132,133,0.001
RFO5_RFO6,133,134,0.001
RFO6_RFO7,134,135,0.001
RFO7_RFO8,135,136,0.001
RFS1_RFS2,137,138,0.001
RFS2_RFS3,138,139,0.001
RFS3_RFS4,139,140,0.001
RFS4_RFS5,140,141,0.001
RFS5_RFS6,141,142,0.001
RPMI1_RPMI2,143,144,0.001
RPMI2_RPMI3,144,145,0.001
RPMI3_RPMI4,145,146,0.001
RPMI4_RPMI5,146,147,0.001
RPMI5_RPMI6,147,148,0.001
RPMI6_RPMI7,148,149,0.001
RPMI7_RPMI8,149,150,0.001
RPMI8_RPMI9,150,151,0.001
RPMI9_RPMI10,151,152,0.001
RFI1_RFI2,153,154,0.001
RFI2_RFI3,154,155,0.001
RFI3_RFI4,155,156,0.001
RFI4_RFI5,156,157,0.001
RFI5_RFI6,157,158,0.001
RFI6_RFI7,158,159,0.001
RFI7_RFI8,159,160,0.001
RFI8_RFI9,160,161,0.001
RFI9_RFI10,161,162,0.001
RFI10_RFI11,162,163,0.001
RFI11_RFI12,163,164,0.001
RFI12_RFI13,164,165,0.001
RFI13_RFI14,165,166,0.001
ROFC1_ROFC2,167,168,0.001
ROFC2_ROFC3,168,169,0.001
ROFC3_ROFC4,169,170,0.001
ROFC4_ROFC5,170,171,0.001
ROFC5_ROFC6,171,172,0.001
ROFC6_ROFC7,172,173,0.001
ROFC7_ROFC8,173,174,0.001
ROFC8_ROFC9,174,175,0.001
ROFC9_ROFC10,175,176,0.001
ROFC10_ROFC11,176,177,0.001
ROFC11_ROFC12,177,178,0.001
ROFC12_ROFC13,178,179,0.001
ROFC13_ROFC14,179,180,0.001
