#Label,#Lead1,#Lead2,#Surface Area
LA1_LA2,1,2,5.024
LA2_LA3,2,3,5.024
LA3_LA4,3,4,5.024
LA4_LA5,4,5,5.024
LA5_LA6,5,6,5.024
LA6_LA7,6,7,5.024
LA7_LA8,7,8,5.024
LA8_LA9,8,9,5.024
LA9_LA10,9,10,5.024
LA10_LA11,10,11,5.024
LA11_LA12,11,12,5.024
LB1_LB2,13,14,5.024
LB2_LB3,14,15,5.024
LB3_LB4,15,16,5.024
LB4_LB5,16,17,5.024
LB5_LB6,17,18,5.024
LB6_LB7,18,19,5.024
LB7_LB8,19,20,5.024
LB8_LB9,20,21,5.024
LB9_LB10,21,22,5.024
LB10_LB11,22,23,5.024
LB11_LB12,23,24,5.024
LC1_LC2,25,26,5.024
LC2_LC3,26,27,5.024
LC3_LC4,27,28,5.024
LC4_LC5,28,29,5.024
LC5_LC6,29,30,5.024
LC6_LC7,30,31,5.024
LC7_LC8,31,32,5.024
LC8_LC9,32,33,5.024
LC9_LC10,33,34,5.024
LC10_LC11,34,35,5.024
LC11_LC12,35,36,5.024
LD1_LD2,37,38,5.024
LD2_LD3,38,39,5.024
LD3_LD4,39,40,5.024
LD4_LD5,40,41,5.024
LD5_LD6,41,42,5.024
LD6_LD7,42,43,5.024
LD7_LD8,43,44,5.024
LD8_LD9,44,45,5.024
LD9_LD10,45,46,5.024
LD10_LD11,46,47,5.024
LD11_LD12,47,48,5.024
LQ1_LQ2,49,50,5.024
LQ2_LQ3,50,51,5.024
LQ3_LQ4,51,52,5.024
LQ4_LQ5,52,53,5.024
LQ5_LQ6,53,54,5.024
LQ6_LQ7,54,55,5.024
LQ7_LQ8,55,56,5.024
RQ1_RQ2,57,58,5.024
RQ2_RQ3,58,59,5.024
RQ3_RQ4,59,60,5.024
RQ4_RQ5,60,61,5.024
RQ5_RQ6,61,62,5.024
RQ6_RQ7,62,63,5.024
RQ7_RQ8,63,64,5.024
RA1_RA2,65,66,5.024
RA2_RA3,66,67,5.024
RA3_RA4,67,68,5.024
RA4_RA5,68,69,5.024
RA5_RA6,69,70,5.024
RA6_RA7,70,71,5.024
RA7_RA8,71,72,5.024
RA8_RA9,72,73,5.024
RA9_RA10,73,74,5.024
RA10_RA11,74,75,5.024
RA11_RA12,75,76,5.024
RB1_RB2,77,78,5.024
RB2_RB3,78,79,5.024
RB3_RB4,79,80,5.024
RB4_RB5,80,81,5.024
RB5_RB6,81,82,5.024
RB6_RB7,82,83,5.024
RB7_RB8,83,84,5.024
RB8_RB9,84,85,5.024
RB9_RB10,85,86,5.024
RB10_RB11,86,87,5.024
RB11_RB12,87,88,5.024
RC1_RC2,89,90,5.024
RC2_RC3,90,91,5.024
RC3_RC4,91,92,5.024
RC4_RC5,92,93,5.024
RC5_RC6,93,94,5.024
RC6_RC7,94,95,5.024
RC7_RC8,95,96,5.024
RC8_RC9,96,97,5.024
RC9_RC10,97,98,5.024
RD1_RD2,99,100,5.024
RD2_RD3,100,101,5.024
RD3_RD4,101,102,5.024
RD4_RD5,102,103,5.024
RD5_RD6,103,104,5.024
RD6_RD7,104,105,5.024
RD7_RD8,105,106,5.024
RD8_RD9,106,107,5.024
RD9_RD10,107,108,5.024
RD10_RD11,108,109,5.024
RD11_RD12,109,110,5.024
LI1_LI2,111,112,5.024
LI2_LI3,112,113,5.024
LI3_LI4,113,114,5.024
LI4_LI5,114,115,5.024
LI5_LI6,115,116,5.024
LI6_LI7,116,117,5.024
LI7_LI8,117,118,5.024
LI8_LI9,118,119,5.024
LI9_LI10,119,120,5.024
LI10_LI11,120,121,5.024
LI11_LI12,121,122,5.024
LI12_LI13,122,123,5.024
LI13_LI14,123,124,5.024
LI14_LI15,124,125,5.024
LI15_LI16,125,126,5.024
LI16_LI17,126,127,5.024
LI17_LI18,127,128,5.024
LT1_LT2,129,130,5.024
LT2_LT3,130,131,5.024
LT3_LT4,131,132,5.024
LT4_LT5,132,133,5.024
LT5_LT6,133,134,5.024
LT6_LT7,134,135,5.024
LT7_LT8,135,136,5.024
LT8_LT9,136,137,5.024
LT9_LT10,137,138,5.024
LT10_LT11,138,139,5.024
LT11_LT12,139,140,5.024
LT12_LT13,140,141,5.024
LT13_LT14,141,142,5.024
LT14_LT15,142,143,5.024
LU1_LU2,145,146,5.024
LU2_LU3,146,147,5.024
LU3_LU4,147,148,5.024
LU4_LU5,148,149,5.024
LU5_LU6,149,150,5.024
LU6_LU7,150,151,5.024
LU7_LU8,151,152,5.024
LU8_LU9,152,153,5.024
LU9_LU10,153,154,5.024
LU10_LU11,154,155,5.024
LU11_LU12,155,156,5.024
LU12_LU13,156,157,5.024
LU13_LU14,157,158,5.024
LU14_LU15,158,159,5.024
RU1_RU2,161,162,5.024
RU2_RU3,162,163,5.024
RU3_RU4,163,164,5.024
RU4_RU5,164,165,5.024
RU5_RU6,165,166,5.024
RU6_RU7,166,167,5.024
RU7_RU8,167,168,5.024
RU8_RU9,168,169,5.024
RU9_RU10,169,170,5.024
RU10_RU11,170,171,5.024
RU11_RU12,171,172,5.024
RU12_RU13,172,173,5.024
RU13_RU14,173,174,5.024
RU14_RU15,174,175,5.024
RT1_RT2,177,178,5.024
RT2_RT3,178,179,5.024
RT3_RT4,179,180,5.024
RT4_RT5,180,181,5.024
RT5_RT6,181,182,5.024
RT6_RT7,182,183,5.024
RT7_RT8,183,184,5.024
RT8_RT9,184,185,5.024
RT9_RT10,185,186,5.024
RT10_RT11,186,187,5.024
RT11_RT12,187,188,5.024
RT12_RT13,188,189,5.024
RT13_RT14,189,190,5.024
RT14_RT15,190,191,5.024
LK1_LK2,193,194,5.024
LK2_LK3,194,195,5.024
LK3_LK4,195,196,5.024
LK4_LK5,196,197,5.024
LK5_LK6,197,198,5.024
LK6_LK7,198,199,5.024
LK7_LK8,199,200,5.024
LK8_LK9,200,201,5.024
LK9_LK10,201,202,5.024
LK10_LK11,202,203,5.024
LK11_LK12,203,204,5.024
LK12_LK13,204,205,5.024
LK13_LK14,205,206,5.024
LK14_LK15,206,207,5.024
LK15_LK16,207,208,5.024
LK16_LK17,208,209,5.024
LK17_LK18,209,210,5.024
RI1_RI2,211,212,5.024
RI2_RI3,212,213,5.024
RI3_RI4,213,214,5.024
RI4_RI5,214,215,5.024
RI5_RI6,215,216,5.024
