#Label,#Lead,#Surface Area
LH1,1,5.024
LH2,2,5.024
LH3,3,5.024
LH4,4,5.024
LH5,5,5.024
LH6,6,5.024
LH7,7,5.024
LH8,8,5.024
LH9,9,5.024
LH10,10,5.024
LH11,11,5.024
LH12,12,5.024
LH13,13,5.024
LH14,14,5.024
LH15,15,5.024
LH16,16,5.024
LQ1,17,5.024
LQ2,18,5.024
LQ3,19,5.024
LQ4,20,5.024
LQ5,21,5.024
LQ6,22,5.024
LQ7,23,5.024
LQ8,24,5.024
LO1,25,5.024
LO2,26,5.024
LO3,27,5.024
LO4,28,5.024
LO5,29,5.024
LO6,30,5.024
LO7,31,5.024
LO8,32,5.024
LO9,33,5.024
LO10,34,5.024
LO11,35,5.024
LO12,36,5.024
LO13,37,5.024
LO14,38,5.024
LO15,39,5.024
LO16,40,5.024
LF1,41,5.024
LF2,42,5.024
LF3,43,5.024
LF4,44,5.024
LF5,45,5.024
LF6,46,5.024
LF7,47,5.024
LF8,48,5.024
LF9,49,5.024
LF10,50,5.024
LF11,51,5.024
LF12,52,5.024
LF13,53,5.024
LF14,54,5.024
LA1,55,5.024
LA2,56,5.024
LA3,57,5.024
LA4,58,5.024
LA5,59,5.024
LA6,60,5.024
LA7,61,5.024
LA8,62,5.024
LA9,63,5.024
LA10,64,5.024
LA11,65,5.024
LA12,66,5.024
LA13,67,5.024
LB1,68,5.024
LB2,69,5.024
LB3,70,5.024
LB4,71,5.024
LB5,72,5.024
LB6,73,5.024
LB7,74,5.024
LB8,75,5.024
LB9,76,5.024
LB10,77,5.024
LB11,78,5.024
LB12,79,5.024
LB13,80,5.024
LB14,81,5.024
LB15,82,5.024
LC1,83,5.024
LC2,84,5.024
LC3,85,5.024
LC4,86,5.024
LC5,87,5.024
LC6,88,5.024
LC7,89,5.024
LC8,90,5.024
LC9,91,5.024
LC10,92,5.024
LC11,93,5.024
LC12,94,5.024
LC13,95,5.024
LC14,96,5.024
LC15,97,5.024
LT1,98,5.024
LT2,99,5.024
LT3,100,5.024
LT4,101,5.024
LT5,102,5.024
LT6,103,5.024
LT7,104,5.024
LT8,105,5.024
LL1,106,5.024
LL2,107,5.024
LL3,108,5.024
LL4,109,5.024
LL5,110,5.024
LL6,111,5.024
LL7,112,5.024
LL8,113,5.024
LL9,114,5.024
LL10,115,5.024
LG1,116,5.024
LG2,117,5.024
LG3,118,5.024
LG4,119,5.024
LG5,120,5.024
LG6,121,5.024
LG7,122,5.024
LG8,123,5.024
LG9,124,5.024
LG10,125,5.024
LG11,126,5.024
LY1,127,5.024
LY2,128,5.024
