#Label,#Lead1,#Lead2,#Surface Area
LH1_LH2,1,2,5.024
LH2_LH3,2,3,5.024
LH3_LH4,3,4,5.024
LH4_LH5,4,5,5.024
LH5_LH6,5,6,5.024
LH6_LH7,6,7,5.024
LH7_LH8,7,8,5.024
LH8_LH9,8,9,5.024
LH9_LH10,9,10,5.024
LH10_LH11,10,11,5.024
LH11_LH12,11,12,5.024
LH12_LH13,12,13,5.024
LH13_LH14,13,14,5.024
LH14_LH15,14,15,5.024
LH15_LH16,15,16,5.024
LH16_LH1,16,1,5.024
LQ1_LQ2,17,18,5.024
LQ2_LQ3,18,19,5.024
LQ3_LQ4,19,20,5.024
LQ4_LQ5,20,21,5.024
LQ5_LQ6,21,22,5.024
LQ6_LQ7,22,23,5.024
LQ7_LQ8,23,24,5.024
LQ8_LQ1,24,17,5.024
LO1_LO2,25,26,5.024
LO2_LO3,26,27,5.024
LO3_LO4,27,28,5.024
LO4_LO5,28,29,5.024
LO5_LO6,29,30,5.024
LO6_LO7,30,31,5.024
LO7_LO8,31,32,5.024
LO8_LO1,32,25,5.024
LO9_LO10,33,34,5.024
LO10_LO11,34,35,5.024
LO11_LO12,35,36,5.024
LO12_LO13,36,37,5.024
LO13_LO14,37,38,5.024
LO14_LO15,38,39,5.024
LO15_LO16,39,40,5.024
LO16_LO9,40,33,5.024
LF1_LF2,41,42,5.024
LF2_LF3,42,43,5.024
LF3_LF4,43,44,5.024
LF4_LF5,44,45,5.024
LF5_LF6,45,46,5.024
LF6_LF7,46,47,5.024
LF7_LF8,47,48,5.024
LF8_LF9,48,49,5.024
LF9_LF10,49,50,5.024
LF10_LF11,50,51,5.024
LF11_LF12,51,52,5.024
LF12_LF13,52,53,5.024
LF13_LF14,53,54,5.024
LF14_LF1,54,41,5.024
LA1_LA2,55,56,5.024
LA2_LA3,56,57,5.024
LA3_LA4,57,58,5.024
LA4_LA5,58,59,5.024
LA5_LA6,59,60,5.024
LA6_LA7,60,61,5.024
LA7_LA8,61,62,5.024
LA8_LA9,62,63,5.024
LA9_LA10,63,64,5.024
LA10_LA1,64,55,5.024
LA11_LA12,65,66,5.024
LA12_LA13,66,67,5.024
LA13_LA11,67,65,5.024
LB1_LB2,68,69,5.024
LB2_LB3,69,70,5.024
LB3_LB4,70,71,5.024
LB4_LB5,71,72,5.024
LB5_LB6,72,73,5.024
LB6_LB7,73,74,5.024
LB7_LB8,74,75,5.024
LB8_LB9,75,76,5.024
LB9_LB10,76,77,5.024
LB10_LB11,77,78,5.024
LB11_LB12,78,79,5.024
LB12_LB13,79,80,5.024
LB13_LB14,80,81,5.024
LB14_LB15,81,82,5.024
LB15_LB1,82,68,5.024
LC1_LC2,83,84,5.024
LC2_LC3,84,85,5.024
LC3_LC4,85,86,5.024
LC4_LC5,86,87,5.024
LC5_LC6,87,88,5.024
LC6_LC7,88,89,5.024
LC7_LC8,89,90,5.024
LC8_LC9,90,91,5.024
LC9_LC10,91,92,5.024
LC10_LC11,92,93,5.024
LC11_LC12,93,94,5.024
LC12_LC13,94,95,5.024
LC13_LC14,95,96,5.024
LC14_LC1,96,83,5.024
LT1_LT2,98,99,5.024
LT2_LT3,99,100,5.024
LT3_LT4,100,101,5.024
LT4_LT5,101,102,5.024
LT5_LT6,102,103,5.024
LT6_LT7,103,104,5.024
LT7_LT8,104,105,5.024
LT8_LT1,105,98,5.024
LL1_LL2,106,107,5.024
LL2_LL3,107,108,5.024
LL3_LL4,108,109,5.024
LL4_LL5,109,110,5.024
LL5_LL6,110,111,5.024
LL6_LL7,111,112,5.024
LL7_LL8,112,113,5.024
LL8_LL9,113,114,5.024
LL9_LL10,114,115,5.024
LL10_LL1,115,106,5.024
LG1_LG2,116,117,5.024
LG2_LG3,117,118,5.024
LG3_LG4,118,119,5.024
LG4_LG5,119,120,5.024
LG5_LG6,120,121,5.024
LG6_LG7,121,122,5.024
LG7_LG8,122,123,5.024
LG8_LG9,123,124,5.024
LG9_LG10,124,125,5.024
LG10_LG11,125,126,5.024
LG11_LG1,126,116,5.024
LY1_LY2,127,128,5.024
