#Label,#Lead1,#Lead2,#Surface Area
LF1_LF2,1,2,5.024
LF2_LF3,2,3,5.024
LF3_LF4,3,4,5.024
LF4_LF5,4,5,5.024
LF5_LF6,5,6,5.024
LF6_LF7,6,7,5.024
LF7_LF8,7,8,5.024
LF8_LF1,8,1,5.024
LPMS1_LPMS2,9,10,5.024
LPMS2_LPMS3,10,11,5.024
LPMS3_LPMS4,11,12,5.024
LPMS4_LPMS5,12,13,5.024
LPMS5_LPMS6,13,14,5.024
LPMS6_LPMS7,14,15,5.024
LPMS7_LPMS8,15,16,5.024
LPMS8_LPMS9,16,17,5.024
LPMS9_LPMS10,17,18,5.024
LPMS10_LPMS1,18,9,5.024
LPMI1_LPMI2,19,20,5.024
LPMI2_LPMI3,20,21,5.024
LPMI3_LPMI4,21,22,5.024
LPMI4_LPMI5,22,23,5.024
LPMI5_LPMI6,23,24,5.024
LPMI6_LPMI7,24,25,5.024
LPMI7_LPMI8,25,26,5.024
LPMI8_LPMI9,26,27,5.024
LPMI9_LPMI10,27,28,5.024
LPMI10_LPMI11,28,29,5.024
LPMI11_LPMI12,29,30,5.024
LPMI12_LPMI13,30,31,5.024
LPMI13_LPMI14,31,32,5.024
LPMI14_LPMI1,32,19,5.024
LS1_LS2,33,34,5.024
LS2_LS3,34,35,5.024
LS3_LS4,35,36,5.024
LS4_LS5,36,37,5.024
LS5_LS6,37,38,5.024
LS6_LS7,38,39,5.024
LS7_LS8,39,40,5.024
LS8_LS9,40,41,5.024
LS9_LS10,41,42,5.024
LS10_LS11,42,43,5.024
LS11_LS12,43,44,5.024
LS12_LS1,44,33,5.024
LM1_LM2,45,46,5.024
LM2_LM3,46,47,5.024
LM3_LM4,47,48,5.024
LM4_LM5,48,49,5.024
LM5_LM6,49,50,5.024
LM6_LM7,50,51,5.024
LM7_LM8,51,52,5.024
LM8_LM1,52,45,5.024
RPST1_RPST2,53,54,5.024
RPST2_RPST3,54,55,5.024
RPST3_RPST4,55,56,5.024
RPST4_RPST5,56,57,5.024
RPST5_RPST6,57,58,5.024
RPST6_RPST7,58,59,5.024
RPST7_RPST8,59,60,5.024
RPST8_RPST9,60,61,5.024
RPST9_RPST10,61,62,5.024
RPST10_RPST1,62,53,5.024
RJ1_RJ2,65,66,5.024
RJ2_RJ3,66,67,5.024
RJ3_RJ4,67,68,5.024
RJ4_RJ5,68,69,5.024
RJ5_RJ6,69,70,5.024
RJ6_RJ7,70,71,5.024
RJ7_RJ8,71,72,5.024
RJ8_RJ9,72,73,5.024
RJ9_RJ10,73,74,5.024
RJ10_RJ11,74,75,5.024
RJ11_RJ12,75,76,5.024
RJ12_RJ13,76,77,5.024
RJ13_RJ14,77,78,5.024
RJ14_RJ15,78,79,5.024
RJ15_RJ16,79,80,5.024
RJ16_RJ1,80,65,5.024
RS1_RS2,81,82,5.024
RS2_RS3,82,83,5.024
RS3_RS4,83,84,5.024
RS4_RS5,84,85,5.024
RS5_RS6,85,86,5.024
RS6_RS7,86,87,5.024
RS7_RS8,87,88,5.024
RS8_RS9,88,89,5.024
RS9_RS10,89,90,5.024
RS10_RS1,90,81,5.024
RMS1_RMS2,91,92,5.024
RMS2_RMS3,92,93,5.024
RMS3_RMS4,93,94,5.024
RMS4_RMS5,94,95,5.024
RMS5_RMS6,95,96,5.024
RMS6_RMS1,96,91,5.024
RMS7_RMS8,97,98,5.024
RMS8_RMS9,98,99,5.024
RMS9_RMS10,99,100,5.024
RMS10_RMS7,100,97,5.024
RPMS1_RPMS2,101,102,5.024
RPMS2_RPMS3,102,103,5.024
RPMS3_RPMS4,103,104,5.024
RPMS4_RPMS5,104,105,5.024
RPMS5_RPMS6,105,106,5.024
RPMS6_RPMS7,106,107,5.024
RPMS7_RPMS8,107,108,5.024
RPMS8_RPMS1,108,101,5.024
RMI1_RMI2,109,110,5.024
RMI2_RMI3,110,111,5.024
RMI3_RMI4,111,112,5.024
RMI4_RMI5,112,113,5.024
RMI5_RMI6,113,114,5.024
RMI6_RMI7,114,115,5.024
RMI7_RMI8,115,116,5.024
RMI8_RMI1,116,109,5.024
RPMM1_RPMM2,117,118,5.024
RPMM2_RPMM3,118,119,5.024
RPMM3_RPMM4,119,120,5.024
RPMM4_RPMM5,120,121,5.024
RPMM5_RPMM6,121,122,5.024
RPMM6_RPMM7,122,123,5.024
RPMM7_RPMM8,123,124,5.024
RPMM8_RPMM9,124,125,5.024
RPMM9_RPMM10,125,126,5.024
RPMM10_RPMM11,126,127,5.024
RPMM11_RPMM12,127,128,5.024
RPMM12_RPMM1,128,117,5.024
RFO1_RFO2,129,130,5.024
RFO2_RFO3,130,131,5.024
RFO3_RFO4,131,132,5.024
RFO4_RFO5,132,133,5.024
RFO5_RFO6,133,134,5.024
RFO6_RFO7,134,135,5.024
RFO7_RFO8,135,136,5.024
RFO8_RFO1,136,129,5.024
RFS1_RFS2,137,138,5.024
RFS2_RFS3,138,139,5.024
RFS3_RFS4,139,140,5.024
RFS4_RFS5,140,141,5.024
RFS5_RFS6,141,142,5.024
RFS6_RFS1,142,137,5.024
RPMI1_RPMI2,143,144,5.024
RPMI2_RPMI3,144,145,5.024
RPMI3_RPMI4,145,146,5.024
RPMI4_RPMI5,146,147,5.024
RPMI5_RPMI6,147,148,5.024
RPMI6_RPMI7,148,149,5.024
RPMI7_RPMI8,149,150,5.024
RPMI8_RPMI9,150,151,5.024
RPMI9_RPMI10,151,152,5.024
RPMI10_RPMI1,152,143,5.024
RFI1_RFI2,153,154,5.024
RFI2_RFI3,154,155,5.024
RFI3_RFI4,155,156,5.024
RFI4_RFI5,156,157,5.024
RFI5_RFI6,157,158,5.024
RFI6_RFI7,158,159,5.024
RFI7_RFI8,159,160,5.024
RFI8_RFI1,160,153,5.024
RFI9_RFI10,161,162,5.024
RFI10_RFI11,162,163,5.024
RFI11_RFI12,163,164,5.024
RFI12_RFI13,164,165,5.024
RFI13_RFI14,165,166,5.024
RFI14_RFI9,166,161,5.024
ROFC1_ROFC2,167,168,5.024
ROFC2_ROFC3,168,169,5.024
ROFC3_ROFC4,169,170,5.024
ROFC4_ROFC5,170,171,5.024
ROFC5_ROFC6,171,172,5.024
ROFC6_ROFC7,172,173,5.024
ROFC7_ROFC8,173,174,5.024
ROFC8_ROFC9,174,175,5.024
ROFC9_ROFC10,175,176,5.024
ROFC10_ROFC11,176,177,5.024
ROFC11_ROFC12,177,178,5.024
ROFC12_ROFC13,178,179,5.024
ROFC13_ROFC14,179,180,5.024
ROFC14_ROFC1,180,167,5.024
